p,ndof,raw_double,raw_cond,gr_double,effective_dofs,rank_min,rank_max,gr_residual,gmres_it,kappa_GR_upper,extended_80bit,binary128
19,152,0.0020712991448999,144641419.17637116,0.0020712991452017,152,19,19,2.3655478932011853e-14,57,4.5561204738147705,0.0020712991452021,
23,184,0.0007770592374751,345563748238.9173,0.0007770591737188,184,23,23,6.222563499372091e-14,65,6.705363996538713,0.0007770591746215,
25,200,0.0004505677952036,34354075260199.6,0.0004506489121036,200,25,25,6.234095301399591e-14,70,7.101549027743609,0.0004506489912779,0.0004506489121149705
27,216,0.0002416690983129,3375369252070174.5,0.0002394461391372,216,27,27,6.851318587224676e-14,75,7.793704231016569,0.0002394473940611,0.0002394461391367811
29,232,0.0011914968362433,1.8537505367109105e+18,0.000234735895029,216,27,27,6.036121796405569e-14,79,7.878264256651126,0.0001064770278731,0.00010632256809703944
31,248,0.0003339868788287,1.0807632170481372e+18,0.0002358207429702,216,27,27,6.072878081078286e-14,80,7.877779741751087,8.302461587311916e-05,5.420395009451037e-05
33,264,0.0003086558937211,9.667190875848116e+17,0.0002341429610286,217,27,28,7.01253046434645e-14,83,7.899894152107465,9.27398645118682e-05,2.5550020915417264e-05
35,280,0.000820846230812,1.9592907332335232e+18,0.0002236574345321,217,27,28,6.707753861012637e-14,83,7.916783902639778,0.0001705387561429,
37,296,0.0003540031682473,4.183746338202173e+18,0.000189738602203,219,27,28,3.3653215259042385e-14,85,7.988303948149622,0.0003705751917686,
39,312,0.0004037010185497,3.454136349008714e+18,0.0002056141753729,219,27,28,4.2212552932001344e-14,85,8.138255342475139,0.000318141618992,
