M,adaptive_L2,uniform_L2,good_birth_control_L2
1,7.548566479012138e-16,0.3695123455601262,
2,1.1904318783391953e-15,0.7563533961217794,
3,4.562330222068418e-15,0.4587101635438183,
4,5.173859219882734e-15,0.97717872655579,
5,5.651695952320885e-15,1.0339589616401057,
6,6.9695683576276575e-15,0.3882087977832454,
7,7.651301669109941e-15,0.8592008112100648,
8,7.245079210806421e-15,0.9739050026520896,
9,2.1657874464134076e-14,0.9128308637097674,
10,2.908785432496584e-14,0.8298085741982796,
11,3.898783527190516e-15,1.2503227232777925,
12,4.087961363029141e-15,0.5282235199959239,
13,4.599834524132896e-15,0.4148558452710488,
14,5.3598619415090135e-15,0.5297796375278842,
15,4.283017367753417e-15,0.5385659414403687,
16,5.095047351531705e-15,0.2743103769200925,
17,6.976518885975329e-15,0.1156483165571003,
18,2.1638911680708176e-14,0.0891808159492999,
19,1.9884928289488068e-14,0.0209127355538678,
20,0.0016163223899238,0.0078616643675092,1.1142105688124183e-14
