cycle,nelem,ndof,J,graph_error,relative_graph_error
0,24,120,22.913855930813725,4.786841957994198,0.8471061489530364
1,30,150,20.889092804144486,4.570458708285689,0.8088137668424465
2,41,205,19.68708667308309,4.437013260413258,0.7851985189536494
3,59,295,19.3551667308215,4.399450730582342,0.778551244974432
4,78,390,19.640082477170246,4.431713266578767,0.7842606025975197
5,109,545,16.331802272214084,4.041262460199051,0.7151642585255039
6,148,740,11.30343692413394,3.36205843556205,0.5949685406153304
7,194,970,7.739708108116625,2.782033088968682,0.4923240326162105
8,258,1290,4.872174824974877,2.2073003477041535,0.3906161334622091
9,343,1715,2.8662239420861324,1.6929925995367294,0.29960137681263455
10,454,2270,1.6221607915581675,1.2736407623651842,0.22539054575532078
11,598,2990,0.9695689066712462,0.9846669013789618,0.17425212575394217
12,796,3980,0.5787402792346588,0.7607498138249255,0.13462651383961843
13,1039,5195,0.3288429101233412,0.5734482628130817,0.10148059071057118
14,1362,6810,0.19553803501221348,0.4421968283606447,0.07825360762668543
15,1748,8740,0.11668223308765224,0.34158781167900626,0.06044927704317761
16,2258,11290,0.06814405374540457,0.26104416052730345,0.04619582502857938
