p,tau,effective,rank_min,rank_max,rel_L2,nonpositive_trace_eigs
27,1e-12,184,23,23,0.000789506620608,0
27,1e-14,200,25,25,0.0004272111437638,0
27,1e-15,216,27,27,0.0002394461390964,0
27,5e-16,216,27,27,0.0002394461390964,0
27,2e-16,216,27,27,0.0002394461390964,0
27,1e-16,216,27,27,0.0002394461390964,0
27,5e-17,216,27,27,0.0002394461390964,0
27,1e-17,216,27,27,0.0002394461390964,0
27,0.0,216,27,27,0.0002394461390964,0
29,1e-12,184,23,23,0.0007895037454364,7
29,1e-14,200,25,25,0.0004272758063068,7
29,1e-15,216,27,27,0.0002356906876932,7
29,5e-16,216,27,27,0.0002356906876932,7
29,2e-16,216,27,27,0.0002356906876932,7
29,1e-16,216,27,27,0.0002356906876932,7
29,5e-17,218,27,28,0.0002324953511906,7
29,1e-17,224,27,29,0.0001787800686671,7
29,0.0,225,27,29,0.0001699209557247,7
31,1e-12,184,23,23,0.0007895037292533,12
31,1e-14,200,25,25,0.000427276988536,12
31,1e-15,216,27,27,0.0002351973727406,12
31,5e-16,216,27,27,0.0002351973727406,12
31,2e-16,217,27,28,0.0002341927557076,12
31,1e-16,220,27,28,0.0001944943076683,12
31,5e-17,224,27,29,0.0001639713948138,12
31,1e-17,233,28,30,0.0001576288301504,12
31,0.0,236,28,30,0.0001325691904837,12
33,1e-16,224,27,29,0.0001908357000911,27
33,5e-17,232,28,30,0.0001548766443674,27
33,1e-17,237,29,31,0.0001325623197459,27
33,0.0,237,29,31,0.0001325623197459,27
35,1e-14,200,25,25,0.00042725167579654076,31
35,1e-15,216,27,27,0.00023404524040054019,31
35,5e-16,216,27,27,0.00023404524040054019,31
35,2e-16,218,27,28,0.00021399491711974932,31
35,1e-16,223,27,29,0.0001751733305515,31
35,5e-17,233,28,31,0.0001434801040759,31
35,1e-17,248,29,32,8.12588568157274e-05,31
35,0.0,249,30,32,6.658818656026025e-05,31
