cycle,nelem,ndof,J,graph_error,relative_graph_error,mean_p,max_p,method
0,24,120,22.913855930813725,4.786841957994198,0.8471061489530364,5.0,5.0,hybrid
1,26,131,20.666126194012016,4.546001121206639,0.804485616344681,5.038461538461538,6.0,hybrid
2,32,164,17.754738484553485,4.213637203717648,0.7456686508660424,5.125,6.0,hybrid
3,38,195,17.569744556306063,4.191627912435223,0.7417737643953695,5.131578947368421,6.0,hybrid
4,45,234,15.563509980603117,3.9450614672781854,0.6981399963180256,5.2,6.0,hybrid
5,52,270,12.447807768405786,3.528145088910855,0.6243601575823041,5.1923076923076925,7.0,hybrid
6,59,308,9.987608757902011,3.160317825457119,0.5592674013646346,5.220338983050848,7.0,hybrid
7,71,376,8.448860409686938,2.9066923486476752,0.5143844278255517,5.295774647887324,7.0,hybrid
8,84,452,6.480053230187233,2.54559486764631,0.4504826113018486,5.380952380952381,8.0,hybrid
9,92,504,5.173114150073646,2.2744480979071926,0.4024989724162637,5.478260869565218,8.0,hybrid
10,104,588,3.5871044970082693,1.893965284002922,0.3351666196756446,5.653846153846154,8.0,hybrid
11,109,632,2.175957596751225,1.4751127403528264,0.2610441463740002,5.798165137614679,8.0,hybrid
12,125,746,1.3085707349746163,1.1439277665021583,0.2024358133119017,5.968,8.0,hybrid
13,130,793,0.8050773935992994,0.8972610509764142,0.1587843008330014,6.1,8.0,hybrid
14,142,884,0.5213039408226393,0.7220138093018992,0.1277715752589685,6.225352112676056,8.0,hybrid
15,195,1208,0.3535752649921135,0.594621951320428,0.105227604271492,6.194871794871795,8.0,hybrid
16,257,1591,0.2202109293169513,0.4692663735203614,0.083043984738648,6.190661478599222,8.0,hybrid
17,329,2049,0.1364981541385925,0.369456565970335,0.0653810866435384,6.227963525835866,8.0,hybrid
18,420,2618,0.0879042498627082,0.2964865087364149,0.0524678998881081,6.233333333333333,8.0,hybrid
19,538,3329,0.0521743933316177,0.2284171476304214,0.0404219675481247,6.187732342007435,8.0,hybrid
0,24,120,22.913855930813725,4.786841957994198,0.8471061489530364,,,pure h
1,30,150,20.88909280414449,4.570458708285689,0.8088137668424465,,,pure h
2,41,205,19.68708667308309,4.437013260413258,0.7851985189536494,,,pure h
3,59,295,19.3551667308215,4.399450730582342,0.778551244974432,,,pure h
4,78,390,19.64008247717025,4.431713266578767,0.7842606025975197,,,pure h
5,109,545,16.331802272214084,4.041262460199051,0.7151642585255039,,,pure h
6,148,740,11.30343692413394,3.36205843556205,0.5949685406153304,,,pure h
7,194,970,7.739708108116625,2.782033088968682,0.4923240326162105,,,pure h
8,258,1290,4.872174824974877,2.207300347704153,0.3906161334622091,,,pure h
9,343,1715,2.8662239420861324,1.6929925995367294,0.2996013768126345,,,pure h
10,454,2270,1.6221607915581675,1.2736407623651842,0.2253905457553207,,,pure h
11,598,2990,0.9695689066712462,0.9846669013789618,0.1742521257539421,,,pure h
12,796,3980,0.5787402792346588,0.7607498138249255,0.1346265138396184,,,pure h
13,1039,5195,0.3288429101233412,0.5734482628130817,0.1014805907105711,,,pure h
14,1362,6810,0.1955380350122134,0.4421968283606447,0.0782536076266854,,,pure h
15,1748,8740,0.1166822330876522,0.3415878116790062,0.0604492770431776,,,pure h
16,2258,11290,0.0681440537454045,0.2610441605273034,0.0461958250285793,,,pure h
