cycle,nelem,ndof,J,graph_error,relative_graph_error,mean_p,max_p,solve_sec,marked,move,enrich,refine
0,24,120,22.913855930813725,4.786841957994198,0.8471061489530364,5.0,5,0.03189730644226074,4,1,1,2
1,26,131,20.666126194012016,4.546001121206639,0.804485616344681,5.038461538461538,6,0.025457382202148438,6,2,1,3
2,32,164,17.754738484553485,4.213637203717648,0.7456686508660424,5.125,6,0.04105854034423828,7,2,1,4
3,38,195,17.569744556306063,4.191627912435223,0.7417737643953695,5.131578947368421,6,0.03794264793395996,7,1,2,4
4,45,234,15.563509980603115,3.9450614672781863,0.6981399963180256,5.2,6,0.046999216079711914,8,3,1,4
5,52,270,12.447807768405786,3.528145088910855,0.6243601575823041,5.1923076923076925,7,0.05302238464355469,12,6,2,4
6,59,308,9.987608757902013,3.160317825457119,0.5592674013646346,5.220338983050848,7,0.06279420852661133,15,3,5,7
7,71,376,8.448860409686938,2.9066923486476752,0.5143844278255517,5.295774647887324,7,0.07364273071289062,17,4,5,8
8,84,452,6.480053230187233,2.54559486764631,0.4504826113018486,5.380952380952381,8,0.09909963607788086,17,2,9,6
9,92,504,5.173114150073646,2.2744480979071926,0.40249897241626376,5.478260869565218,8,0.10529065132141113,20,2,12,6
10,104,588,3.5871044970082693,1.893965284002922,0.3351666196756446,5.653846153846154,8,0.12344098091125488,23,5,15,3
11,109,632,2.175957596751225,1.4751127403528264,0.2610441463740002,5.798165137614679,8,0.155836820602417,26,2,16,8
12,125,746,1.3085707349746165,1.1439277665021583,0.20243581331190175,5.968,8,0.1539309024810791,24,3,18,3
13,130,793,0.8050773935992994,0.8972610509764142,0.15878430083300143,6.1,8,0.1939857006072998,,,,
