q,max_angle_error_deg,mean_angle_error_deg,sigma_q_over_sigma_1,node_modulus_min,node_modulus_max
1,0.0,0.0,1.0,1.0,1.0
3,1.4210854715202004e-14,8.289665250534503e-15,0.9873218565364762,0.9999999999999997,0.9999999999999999
5,2.842170943040401e-14,1.4210854715202004e-14,0.9753431985784322,0.9999999999999989,1.0000000000000013
7,5.684341886080802e-14,2.5884056802689363e-14,0.9705707157785645,0.9999999999999989,1.0000000000000013
9,5.684341886080802e-14,2.092153610849184e-14,0.9561000085334372,0.999999999999999,1.000000000000002
11,5.684341886080802e-14,1.7763568394002505e-14,0.9506670542624928,0.9999999999999988,1.000000000000001
13,8.526512829121202e-14,2.029146081930286e-14,0.9218133361448267,0.9999999999999992,1.0000000000000013
15,2.842170943040401e-14,7.164639252247677e-15,0.9030703388503759,0.9999999999999991,1.0000000000000013
17,5.684341886080802e-14,1.6718652606120005e-14,0.8957757972014273,0.9999999999999991,1.0000000000000027
19,5.684341886080802e-14,2.0755327281413453e-14,0.8896925659297176,0.9999999999999988,1.0000000000000013
20,5.684341886080802e-14,1.0169642905566433e-14,0.878538091679021,0.9999999999999976,1.000000000000001
21,5.684341886080802e-14,2.1866106808807846e-14,0.8739622952025698,0.9999999999999986,1.0000000000000018
23,5.684341886080802e-14,1.1662168815192948e-14,0.871997109856965,0.9999999999999989,1.0000000000000022
25,8.526512829121202e-14,2.120970066243899e-14,0.8690296004497711,0.9999999999999988,1.0000000000000013
27,8.526512829121202e-14,2.5987442650485146e-14,0.8559750591669373,0.9999999999999977,1.0000000000000016
29,8.526512829121202e-14,2.146941628309613e-14,0.8169391255559304,0.9999999999999969,1.0000000000000018
31,1.1368683772161603e-13,2.194660224162245e-14,0.8098209408641222,0.9999999999999959,1.0000000000000013
33,1.1368683772161603e-13,2.6537694600737075e-14,0.7967946403797282,0.9999999999999964,1.0000000000000033
35,8.526512829121202e-14,3.2126682266867386e-14,0.7961424703809222,0.9999999999999961,1.0000000000000029
37,8.526512829121202e-14,2.352472571097629e-14,0.7954450060902042,0.9999999999999972,1.0000000000000018
39,5.684341886080802e-14,2.5757174171303632e-14,0.7613546546221425,0.999999999999998,1.0000000000000016
40,1.1368683772161603e-13,3.217426325363704e-14,0.7600411723997724,0.9999999999999969,1.0000000000000027
41,1.2079226507921703e-13,3.648030387256124e-14,0.7593394526838281,0.9999999999999979,1.0000000000000036
43,1.4210854715202004e-13,2.85869519270924e-14,0.7508788045487529,0.9999999999999983,1.0000000000000027
45,7.815970093361102e-14,1.9757035513773896e-14,0.7457883475868426,0.9999999999999979,1.0000000000000047
47,8.526512829121202e-14,2.556820003945254e-14,0.7455721705154498,0.9999999999999969,1.0000000000000027
49,1.1368683772161603e-13,2.9454896571687825e-14,0.735118823276218,0.999999999999997,1.0000000000000036
51,1.4210854715202004e-13,2.8125649957170633e-14,0.7343742850268495,0.9999999999999969,1.0000000000000033
53,1.1368683772161603e-13,3.0482953687443923e-14,0.7337762794715765,0.9999999999999972,1.0000000000000022
55,1.1368683772161603e-13,2.843785812894401e-14,0.700314669687087,0.9999999999999969,1.000000000000004
57,1.1368683772161603e-13,3.632182274247354e-14,0.6828993355636037,0.9999999999999974,1.0000000000000029
