q,status,max_angle_error_deg,mean_angle_error_deg,sigma_q_over_sigma_1,node_modulus_min,node_modulus_max,shift_rank
1,valid,1.0658141036401503e-14,1.0658141036401503e-14,1.0,1.0,1.0,1
2,valid,1.4210854715202004e-14,1.0658141036401503e-14,0.9913165173040439,1.0,1.0,2
3,valid,1.4210854715202004e-14,8.289665250534503e-15,0.9490047152117159,1.0,1.0,3
4,valid,2.842170943040401e-14,1.2434497875801753e-14,0.9316934182963124,1.0,1.0,4
5,valid,2.842170943040401e-14,1.7053025658242404e-14,0.9171360037533357,1.0,1.0,5
6,valid,2.842170943040401e-14,7.105427357601002e-15,0.9087380036934295,1.0,1.0,6
7,valid,2.842170943040401e-14,1.2180732613030288e-14,0.7975199794084705,1.0,1.0,7
8,valid,2.842170943040401e-14,6.661338147750939e-15,0.7882345150734914,1.0,1.0,8
9,valid,5.684341886080802e-14,2.0526790144180672e-14,0.786119598165959,1.0,1.0,9
10,valid,8.526512829121202e-14,1.9539925233402755e-14,0.7834921723533635,1.0,1.0,10
11,valid,3.197442310920451e-14,1.3241932802801866e-14,0.770735241696277,1.0,1.0,11
12,valid,5.684341886080802e-14,1.6579330501069005e-14,0.7648039425529087,1.0,1.0,12
13,valid,5.684341886080802e-14,2.0223139402402852e-14,0.7423787321376842,1.0,1.0,13
14,valid,5.684341886080802e-14,1.5352798397673592e-14,0.7260163004937652,1.0,1.0,14
15,valid,1.1368683772161603e-13,2.409924112119673e-14,0.6718852116880631,1.0,1.0,15
16,valid,5.684341886080802e-14,1.0047518372857667e-14,0.6149084940748838,1.0,1.0,16
17,valid,5.684341886080802e-14,2.324937628038563e-14,0.6147929540343404,1.0,1.0,17
18,valid,8.526512829121202e-14,2.2993952421125465e-14,0.6093290174566388,1.0,1.0,18
19,valid,8.526512829121202e-14,2.8795679291330374e-14,0.6080489361125907,1.0,1.0,19
20,valid,6.394884621840902e-14,2.602362769721367e-14,0.5899682133429197,1.0,1.0,20
21,valid,9.947598300641403e-14,1.6071799975526075e-14,0.57744828137978,1.0,1.0,21
22,valid,5.684341886080802e-14,1.6835018227952373e-14,0.5753691648984492,1.0,1.0,22
23,valid,8.526512829121202e-14,2.2938173100081494e-14,0.563750243800598,1.0,1.0,23
24,valid,9.947598300641403e-14,1.746750892076913e-14,0.5362989772273085,1.0,1.0,24
25,valid,8.526512829121202e-14,2.8137492336099967e-14,0.5253259319989604,1.0,1.0,25
26,valid,7.815970093361102e-14,2.879747722335406e-14,0.5187190338723493,1.0,1.0,26
27,valid,5.684341886080802e-14,2.2434728971684645e-14,0.5013446081805709,1.0,1.0,27
28,valid,5.773159728050814e-14,1.969852852263492e-14,0.4977205679155955,1.0,1.0,28
29,valid,7.815970093361102e-14,2.0764998915747756e-14,0.4847719471760341,1.0,1.0,29
30,valid,6.039613253960852e-14,2.0043226337899493e-14,0.4597322523033197,1.0,1.0,30
31,valid,5.684341886080802e-14,2.4410581083371184e-14,0.4521871051248683,1.0,1.0,31
32,valid,1.1368683772161603e-13,1.865174681370263e-14,0.44168443338002983,1.0,1.0,32
33,valid,5.684341886080802e-14,1.9028549779636018e-14,0.3807166005378692,1.0,1.0,33
34,valid,1.1368683772161603e-13,2.4137554700085756e-14,0.3737459475936688,1.0,1.0,34
35,valid,1.1368683772161603e-13,2.661997606472661e-14,0.3514057493438421,1.0,1.0,35
36,valid,1.1368683772161603e-13,3.170303525874058e-14,0.2894044087675404,1.0,1.0,36
37,valid,8.526512829121202e-14,2.5853193459919862e-14,0.2724434881965707,1.0,1.0,37
38,valid,1.1368683772161603e-13,3.272236283105725e-14,0.2604487144102492,1.0,1.0,38
39,valid,1.4210854715202004e-13,3.5436041565471663e-14,0.1609484969842541,1.0,1.0,39
40,valid,2.5579538487363607e-13,8.428813202954189e-14,0.050145568928536804,1.0,1.0,40
41,forced_outside_sample_bound,25.30095239675245,3.2476632631663076,0.016726632762979626,0.23755300335397717,0.41461872335260275,40
