source_x,element,p,method,trace_error,volume_L2_error,gram_cond,rank,principal_angle_error_deg,half_aperture_deg
0.0,0,1,ESPRIT-centered fan,0.6885589390491342,0.5710845018092273,1.0,1,3.1805546814635168e-15,0.0
0.0,0,1,equispaced,0.68855893904921,0.5710845018092389,1.0,1,,
0.0,0,3,ESPRIT-centered fan,0.33341626584843326,0.20426325527258124,3.2256031903442812,3,3.1805546814635168e-15,16.76576545644763
0.0,0,3,equispaced,0.687306664716939,0.5724727604738482,1.0108711119532554,3,,
0.0,0,5,ESPRIT-centered fan,0.15216852581680523,0.0928462189206779,71.00399043918414,5,3.1805546814635168e-15,26.30074229853558
0.0,0,5,equispaced,0.6780639449526874,0.596534743148413,1.286756001715095,5,,
0.0,0,7,ESPRIT-centered fan,0.06952874233830009,0.04164410942484705,2516.451278616926,7,3.1805546814635168e-15,33.46950772777088
0.0,0,7,equispaced,0.6313493137054428,0.6343736537662615,1.36171280439832,7,,
0.0,0,9,ESPRIT-centered fan,0.03207243121655297,0.01767482154021144,109170.30387717068,9,3.1805546814635168e-15,39.408362324891065
0.0,0,9,equispaced,0.6146531065161811,0.5179078630772204,2.105613834636553,9,,
0.0,0,13,ESPRIT-centered fan,0.007201346194857524,0.003351224554878324,555327775.5103163,13,3.1805546814635168e-15,47.721488669380165
0.0,0,13,equispaced,0.36712499724664605,0.0909551522101064,2.2779831800403683,13,,
0.0,0,17,ESPRIT-centered fan,0.0017761974194650024,0.0007485797192228915,252063514350.3693,16,3.1805546814635168e-15,51.659213601556914
0.0,0,17,equispaced,0.11878784524098425,0.00714078581507709,4.035797584445699,17,,
0.0,0,21,ESPRIT-centered fan,0.0004790495427840153,0.00018739440431742905,790521026866.6438,17,3.1805546814635168e-15,52.23179519767948
0.0,0,21,equispaced,0.025213870980613257,0.0009928339085036434,86.2737708643792,21,,
0.0,1,1,ESPRIT-centered fan,0.6885589390491342,0.5710845018092271,1.0,1,0.0,0.0
0.0,1,1,equispaced,0.6885589390496403,0.5710845018093037,1.0,1,,
0.0,1,3,ESPRIT-centered fan,0.3334162658484332,0.20426325527257336,3.225603190335388,3,0.0,16.765765456458166
0.0,1,3,equispaced,0.6873066647169714,0.5724727604738536,1.0108711119532556,3,,
0.0,1,5,ESPRIT-centered fan,0.15216852581680523,0.09284621895695659,71.00398148253099,5,0.0,26.300742688008274
0.0,1,5,equispaced,0.8584445352207745,1.0161485358527365,1.2867560017150945,5,,
0.0,1,7,ESPRIT-centered fan,0.06952874233830021,0.04164410934073034,2516.4502855391593,7,0.0,33.4695087614067
0.0,1,7,equispaced,0.6313493137043521,0.6343736537657951,1.3617128043983198,7,,
0.0,1,9,ESPRIT-centered fan,0.03207243121655256,0.01767482126166392,109170.13037930765,9,0.0,39.40836619257638
0.0,1,9,equispaced,0.6146531065161805,0.5179078630772194,2.105613834636551,9,,
0.0,1,13,ESPRIT-centered fan,0.0072013461948553705,0.0033512245016370304,555326241.4555484,13,0.0,47.721494120458665
0.0,1,13,equispaced,0.367124997229545,0.09095515220535379,2.2779831800403723,13,,
0.0,1,17,ESPRIT-centered fan,0.0017761974194524764,0.0007485796554709877,252053354426.26425,16,0.0,51.659274522586415
0.0,1,17,equispaced,0.11878784525636131,0.007140785816784292,4.035797584445697,17,,
0.0,1,21,ESPRIT-centered fan,0.00047904954328337467,0.00018739550427452037,792621677289.9794,17,0.0,52.227164891425254
0.0,1,21,equispaced,0.02521387098061658,0.000992833908503278,86.27377086437988,21,,
0.0,2,1,ESPRIT-centered fan,0.6885589390491342,0.5710845018092274,1.0,1,0.0,0.0
0.0,2,1,equispaced,0.6885589390498554,0.5710845018093367,1.0,1,,
0.0,2,3,ESPRIT-centered fan,0.3334162658484332,0.20426325544905247,3.225603400401803,3,0.0,16.765765207513294
0.0,2,3,equispaced,0.6873066647181393,0.5724727604740547,1.0108711119532559,3,,
0.0,2,5,ESPRIT-centered fan,0.15216852581680523,0.09284621888432261,71.00399941490541,5,0.0,26.300741908233743
0.0,2,5,equispaced,0.6780639449509636,0.5965347431473836,1.2867560017150939,5,,
0.0,2,7,ESPRIT-centered fan,0.06952874233830016,0.041644109300264597,2516.4498078011497,7,0.0,33.46950925865666
0.0,2,7,equispaced,0.631349313704349,0.6343736537657939,1.361712804398319,7,,
0.0,2,9,ESPRIT-centered fan,0.032072431216552726,0.017674821218262343,109170.1033505563,9,0.0,39.408366795211336
0.0,2,9,equispaced,0.6146531065229093,0.5179078630896393,2.105613834636551,9,,
0.0,2,13,ESPRIT-centered fan,0.007201346194856483,0.0033512243757629566,555322589.0010599,13,0.0,47.721507008515516
0.0,2,13,equispaced,0.3671249972296118,0.09095515220537281,2.2779831800403696,13,,
0.0,2,17,ESPRIT-centered fan,0.001776197419446655,0.0007485796861790559,252054692494.44116,16,0.0,51.65924530251556
0.0,2,17,equispaced,0.1187878452409569,0.0071407858150738255,4.035797584445698,17,,
0.0,2,21,ESPRIT-centered fan,0.0004790495415610183,0.0001873948124046285,791173021812.5826,17,0.0,52.23028399019632
0.0,2,21,equispaced,0.02521387098061332,0.0009928339085036448,86.2737708643784,21,,
0.0,3,1,ESPRIT-centered fan,0.6885589390491341,0.5710845018092281,1.0,1,0.0,0.0
0.0,3,1,equispaced,0.6885589390491341,0.5710845018092282,1.0,1,,
0.0,3,3,ESPRIT-centered fan,0.333416265848433,0.2042632550959673,3.225602980116298,3,0.0,16.765765705584
0.0,3,3,equispaced,0.6873066647293969,0.5724727604759918,1.0108711119532556,3,,
0.0,3,5,ESPRIT-centered fan,0.15216852581680507,0.09284621895657316,71.00398157721825,5,0.0,26.30074268389088
0.0,3,5,equispaced,0.6780639449509471,0.5965347431473745,1.286756001715094,5,,
0.0,3,7,ESPRIT-centered fan,0.06952874233829995,0.04164410934087792,2516.4502872800304,7,0.0,33.469508759595314
0.0,3,7,equispaced,0.6313493137047393,0.6343736537659612,1.3617128043983195,7,,
0.0,3,9,ESPRIT-centered fan,0.03207243121655265,0.017674821517149643,109170.28951362828,9,0.0,39.40836264510329
0.0,3,9,equispaced,0.614653106516195,0.5179078630772467,2.1056138346365527,9,,
