source_x,p,method,trace_error,volume_L2_error,max_gram_cond,min_rank,max_principal_angle_error_deg,mean_half_aperture_deg
0.0,1,ESPRIT-centered fan,0.6885589390491341,0.5710845018092277,1.0,1,5.088887490341627e-14,0.0
0.0,1,equispaced,0.6885589390494599,0.571084501809277,1.0,1,,
0.0,3,ESPRIT-centered fan,0.3334162658484331,0.20426325523244507,3.225603610193417,3,5.088887490341627e-14,16.765765513064785
0.0,3,equispaced,0.6873066647203616,0.5724727604744372,1.010871111953256,3,,
0.0,5,ESPRIT-centered fan,0.15216852581680507,0.09284621891741086,71.00404297934429,5,5.088887490341627e-14,26.3007422634582
0.0,5,equispaced,0.7273649634777779,0.7245893571987209,1.2867560017150952,5,,
0.0,7,ESPRIT-centered fan,0.06952874233829999,0.04164410945151651,2516.455829364711,7,5.088887490341627e-14,33.46950740005233
0.0,7,equispaced,0.6313493137047208,0.634373653765953,1.3617128043983229,7,,
0.0,9,ESPRIT-centered fan,0.032072431216552684,0.017674821184655087,109170.30387717068,9,5.088887490341627e-14,39.408367261848426
0.0,9,equispaced,0.6146531065178664,0.5179078630803314,2.105613834636554,9,,
0.0,13,ESPRIT-centered fan,0.007201346194853539,0.003351224529074205,555330498.777337,13,5.088887490341627e-14,47.721491311498355
0.0,13,equispaced,0.36712499723382236,0.09095515220654309,2.2779831800403723,13,,
0.0,17,ESPRIT-centered fan,0.0017761974193899537,0.0007485796872527608,252088885417.13922,16,5.088887490341627e-14,51.65924407778216
0.0,17,equispaced,0.11878784524482319,0.007140785815503296,4.03579758444571,17,,
0.0,21,ESPRIT-centered fan,0.0004790495265719885,0.0001873937928354947,792731251206.0703,17,5.088887490341627e-14,52.23414756451676
0.0,21,equispaced,0.025213870980973854,0.0009928339084942237,86.27377086438128,21,,
0.15,1,ESPRIT-centered fan,0.6932837891265591,0.5778186192412944,1.0,1,3.949472986257598e-07,0.0
0.15,1,equispaced,0.6932837891290036,0.5778186042342747,1.0,1,,
0.15,3,ESPRIT-centered fan,0.34933250979669445,0.21330223906944004,6.963259938007807,3,3.949472986257598e-07,16.938956379151442
0.15,3,equispaced,0.6918957002139656,0.5796954422279079,1.0108711119532563,3,,
0.15,5,ESPRIT-centered fan,0.17327470351328034,0.10525503365279472,286.92801535536285,5,3.949472986257598e-07,26.515342329664197
0.15,5,equispaced,0.7202871817245039,0.7225196230915276,1.2867560017150954,5,,
0.15,7,ESPRIT-centered fan,0.08922253434660507,0.051488714769932414,20832.950535458796,7,3.949472986257598e-07,33.78394859773094
0.15,7,equispaced,0.6329753754190095,0.6400565536140149,1.361712804398321,7,,
0.15,9,ESPRIT-centered fan,0.04788769315459103,0.024711862108704165,1776488.3118623872,9,3.949472986257598e-07,39.77703849578454
0.15,9,equispaced,0.6133606182944179,0.5257984078611884,2.105613834636554,9,,
