source_x,element,p,method,trace_error,volume_L2_error,gram_cond,rank,angle_error_deg,esprit_hankel_cond,nfev
0.0,0,1,ESPRIT+VP,0.6885589390491335,0.5710845018092271,1.0,1,1.0160027485560688e-09,1.0,9
0.0,0,1,equispaced,0.6970511254435483,0.572469682463739,1.0,1,,,0
0.0,0,3,ESPRIT+VP,0.6775883115414996,0.5930397968156466,1.0257803790488174,3,1.9504923461250002e-06,35.12550124869674,32
0.0,0,3,equispaced,0.6877938285104505,0.5725568851434424,1.0108711119532554,3,,,0
0.0,0,5,ESPRIT+VP,0.14232560905632197,0.12273740577793275,1834272966.902446,4,21.09032326348959,45.93417303087538,66
0.0,0,5,equispaced,0.6781195477867384,0.5965679550884538,1.286756001715095,5,,,0
0.0,0,7,ESPRIT+VP,0.2911020512367166,0.27612880156593866,64486088788.55858,7,0.0017832629544466128,46.588440010395516,52
0.0,0,7,equispaced,0.6313522962399046,0.6343749290985196,1.3617128043983198,7,,,0
0.0,0,9,ESPRIT+VP,0.012814159703941484,0.005840225086660129,2641256.6673242054,7,0.006717994899146266,209.52497130076452,40
0.0,0,9,equispaced,0.6146540299067749,0.5179095674301509,2.105613834636551,9,,,0
0.0,0,11,ESPRIT+VP,0.005906484430245309,0.0027620388304183435,274630184249.70767,9,0.007345379932886456,7843.2240865466465,32
0.0,0,11,equispaced,0.4982934866190708,0.3172962909278596,2.7329771677225088,11,,,0
0.0,1,1,ESPRIT+VP,0.6885589390491336,0.5710845018092269,1.0,1,3.4162846722348667e-09,1.0,5
0.0,1,1,equispaced,0.692931797287621,0.5717727807781978,1.0,1,,,0
0.0,1,3,ESPRIT+VP,0.6775883115414972,0.5930397968918292,1.0257803785663595,3,1.8740030339238595e-06,35.125501248696786,32
0.0,1,3,equispaced,0.6873261715324132,0.5724761162817906,1.0108711119532559,3,,,0
0.0,1,5,ESPRIT+VP,0.14232560883327264,0.12273763054916048,8171066583.48697,5,21.090455575441833,45.934173030875385,64
0.0,1,5,equispaced,0.6783664956011697,0.5967155676813085,1.2867560017150936,5,,,0
0.0,1,7,ESPRIT+VP,0.29110205104580505,0.2761295431186213,438702073146.7253,7,0.0013563162470866625,46.58844001039557,50
0.0,1,7,equispaced,0.6313761547243694,0.6343851319433715,1.3617128043983193,7,,,0
0.0,1,9,ESPRIT+VP,0.012814227818899177,0.005832038770082517,10974679053.540531,8,0.003997622863153145,209.5249713007646,39
0.0,1,9,equispaced,0.614661416811902,0.5179232018376958,2.1056138346365527,9,,,0
0.0,1,11,ESPRIT+VP,0.005901271541864885,0.0027220171013821503,1072227667.3905009,9,0.0015319514117238325,7843.22408654659,33
0.0,1,11,equispaced,0.4983562733774622,0.3173254850448459,2.7329771677225034,11,,,0
0.0,2,1,ESPRIT+VP,0.6885589390491335,0.5710845018092271,1.0,1,4.692491143725211e-08,1.0,3
0.0,2,1,equispaced,0.6901429265159933,0.5713278086860806,1.0,1,,,0
0.0,2,3,ESPRIT+VP,0.6775883115413572,0.5930398330136947,1.0257801505028443,3,1.3210546079427876e-06,35.12550124869677,33
0.0,2,3,equispaced,0.6882605146557151,0.5726380938963848,1.0108711119532554,3,,,0
0.0,2,5,ESPRIT+VP,0.14232560901569016,0.12273815457766314,4178857376.1016145,5,21.09036285010183,45.93417303087538,70
0.0,2,5,equispaced,0.678070123762212,0.5965384333467607,1.2867560017150943,5,,,0
0.0,2,7,ESPRIT+VP,0.2911020509594173,0.2761292941918509,92104086010.85799,7,0.000901691621615484,46.58844001039557,55
0.0,2,7,equispaced,0.631423862095072,0.6344055386090682,1.3617128043983207,7,,,0
0.0,2,9,ESPRIT+VP,0.012814140711571902,0.005831900279337286,836392989688.8018,8,5.0501702407098255e-05,209.52497130076398,45
0.0,2,9,equispaced,0.614676189450851,0.5179504684347918,2.1056138346365527,9,,,0
0.0,2,11,ESPRIT+VP,0.005906506073981987,0.00276221066823472,335060745680.3823,9,0.003907927694791287,7843.22408654694,28
0.0,2,11,equispaced,0.4982809268641925,0.31729045056996197,2.73297716772251,11,,,0
0.0,3,1,ESPRIT+VP,0.6885589390491333,0.5710845018092278,1.0,1,2.2018343948835633e-08,1.0,4
0.0,3,1,equispaced,0.6887354842866834,0.571111285822593,1.0,1,,,0
0.0,3,3,ESPRIT+VP,0.6775883115413563,0.5930398327719885,1.0257801520278262,3,1.1671027846968535e-06,35.125501248696686,33
0.0,3,3,equispaced,0.6874821652276845,0.5725029902960095,1.0108711119532552,3,,,0
0.0,3,5,ESPRIT+VP,0.14232560920240672,0.12273862313897288,5174737227.341761,5,21.09050065447126,45.9341730308752,70
0.0,3,5,equispaced,0.6782183613635614,0.5966269993511263,1.2867560017150945,5,,,0
0.0,3,7,ESPRIT+VP,0.29110205097157815,0.27612994912861466,10315380677.65409,6,0.0012132887567708503,46.58844001039541,51
0.0,3,7,equispaced,0.631495399163708,0.6344361510464774,1.3617128043983209,7,,,0
0.0,3,9,ESPRIT+VP,0.012814143775801362,0.005831283564332387,369838.41621329274,7,0.0011248523465610559,209.52497130076463,44
0.0,3,9,equispaced,0.61469834548135,0.5179913627862621,2.1056138346365545,9,,,0
0.0,3,11,ESPRIT+VP,0.00590613077424663,0.0027502483380267497,60965904865.538826,9,0.010985225311716038,7843.224086546537,29
0.0,3,11,equispaced,0.4983186037254123,0.31730797010899225,2.7329771677225043,11,,,0
0.0,4,1,ESPRIT+VP,0.6885589390491333,0.5710845018092273,1.0,1,4.725235590281814e-09,1.0,8
0.0,4,1,equispaced,0.6887354842866834,0.5711112858225925,1.0,1,,,0
0.0,4,3,ESPRIT+VP,0.6775883115413536,0.5930398329284453,1.0257801510385975,3,9.869525544286415e-07,35.12550124869668,33
0.0,4,3,equispaced,0.6874821652276845,0.5725029902960094,1.010871111953256,3,,,0
0.0,4,5,ESPRIT+VP,0.1423256096591726,0.12273911962745411,10452473983.133892,5,21.090008688282737,45.93417303087519,64
0.0,4,5,equispaced,0.6782183613635614,0.596626999351126,1.2867560017150943,5,,,0
0.0,4,7,ESPRIT+VP,0.2911020508963188,0.27612813391719637,58300800035.97756,7,0.0005093341096129892,46.58844001039539,54
0.0,4,7,equispaced,0.6314953991637079,0.6344361510464772,1.3617128043983207,7,,,0
0.0,4,9,ESPRIT+VP,0.012814148397255119,0.00583171578586088,299202853613.2372,8,0.0018268516407091832,209.52497130076435,43
0.0,4,9,equispaced,0.61469834548135,0.5179913627862619,2.1056138346365527,9,,,0
0.0,4,11,ESPRIT+VP,0.005901364012217929,0.002756206467268781,6291349600.842609,9,0.00258923530968236,7843.224086546531,39
0.0,4,11,equispaced,0.498318603725412,0.31730797010899275,2.7329771677225083,11,,,0
0.0,5,1,ESPRIT+VP,0.6885589390491336,0.5710845018092268,1.0,1,2.3840979892376393e-08,1.0,4
0.0,5,1,equispaced,0.6901429265159933,0.5713278086860802,1.0,1,,,0
0.0,5,3,ESPRIT+VP,0.6775883115413518,0.5930398330246753,1.025780150429823,3,8.162756698902626e-07,35.12550124869676,33
0.0,5,3,equispaced,0.6882605146557151,0.5726380938963845,1.0108711119532559,3,,,0
0.0,5,5,ESPRIT+VP,0.14232560912957087,0.12273841406574548,158959376054.17242,5,21.090445461251942,45.9341730308754,68
0.0,5,5,equispaced,0.678070123762212,0.5965384333467603,1.2867560017150943,5,,,0
0.0,5,7,ESPRIT+VP,0.2911020508865454,0.2761296150797294,4912221249.149484,7,0.0005703724361487616,46.588440010395544,64
0.0,5,7,equispaced,0.6314238620950722,0.6344055386090679,1.3617128043983213,7,,,0
0.0,5,9,ESPRIT+VP,0.012814132426920215,0.0058332290794741205,629677.9486301072,7,0.0005965313614954447,209.52497130076463,45
0.0,5,9,equispaced,0.6146761894508511,0.5179504684347912,2.1056138346365563,9,,,0
0.0,5,11,ESPRIT+VP,0.00590556848804816,0.0027967068601304347,59917034676.31594,9,0.006884791994596819,7843.224086546754,29
0.0,5,11,equispaced,0.49828092686419295,0.317290450569962,2.7329771677225057,11,,,0
0.0,6,1,ESPRIT+VP,0.6885589390491333,0.5710845018092273,1.0,1,4.727983589526599e-09,1.0,8
0.0,6,1,equispaced,0.692931797287621,0.5717727807781984,1.0,1,,,0
0.0,6,3,ESPRIT+VP,0.6775883115415023,0.5930397961557266,1.0257803832165837,3,1.4305831150639725e-06,35.12550124869667,32
0.0,6,3,equispaced,0.687326171532413,0.5724761162817912,1.0108711119532563,3,,,0
0.0,6,5,ESPRIT+VP,0.14232560887252363,0.12273773601319865,3771947441.0031085,5,21.09034277731198,45.93417303087522,70
0.0,6,5,equispaced,0.6783664956011694,0.5967155676813091,1.2867560017150943,5,,,0
0.0,6,7,ESPRIT+VP,0.29110205086045754,0.2761297683752091,562571054158.9543,7,0.0004107758634330272,46.588440010395395,55
0.0,6,7,equispaced,0.6313761547243691,0.634385131943372,1.361712804398319,7,,,0
0.0,6,9,ESPRIT+VP,0.012814156747734347,0.005830683981860832,798042.3595429088,7,0.006769305673158761,209.52497130076438,44
0.0,6,9,equispaced,0.614661416811902,0.5179232018376962,2.1056138346365514,9,,,0
0.0,6,11,ESPRIT+VP,0.005906491382713716,0.0027621185271697623,180942748972.00488,9,0.00585104915713237,7843.2240865465155,30
0.0,6,11,equispaced,0.4983562733774623,0.31732548504484626,2.7329771677225074,11,,,0
0.0,7,1,ESPRIT+VP,0.6885589390491333,0.5710845018092277,1.0,1,5.318090982906614e-09,1.0,7
0.0,7,1,equispaced,0.6970511254435483,0.5724696824637395,1.0,1,,,0
0.0,7,3,ESPRIT+VP,0.6775883115414987,0.5930397965645366,1.0257803806342696,3,1.2767299144576005e-06,35.125501248696665,32
0.0,7,3,equispaced,0.6877938285104505,0.5725568851434429,1.0108711119532552,3,,,0
0.0,7,5,ESPRIT+VP,0.1423256095391909,0.12273896120941542,38421913917.380974,5,21.089877017301514,45.93417303087524,77
0.0,7,5,equispaced,0.6781195477867383,0.5965679550884544,1.2867560017150943,5,,,0
0.0,7,7,ESPRIT+VP,0.29110205099446673,0.2761307963421417,14379668157.040346,7,0.0008034838223086552,46.588440010395395,69
0.0,7,7,equispaced,0.6313522962399043,0.6343749290985201,1.3617128043983193,7,,,0
0.0,7,9,ESPRIT+VP,0.012814128014355587,0.005834109607236808,1401273.2641117258,7,0.0033753249659093454,209.52497130076435,45
0.0,7,9,equispaced,0.6146540299067749,0.5179095674301515,2.105613834636552,9,,,0
0.0,7,11,ESPRIT+VP,0.005905918125221609,0.002752336108198162,10154558649.544655,8,0.0044917244734344434,7843.2240865468175,28
0.0,7,11,equispaced,0.49829348661907114,0.3172962909278599,2.7329771677225065,11,,,0
0.15,0,1,ESPRIT+VP,0.7941272292335969,0.6611583825116367,1.0,1,1.0224619112392707e-06,1.0,2
0.15,0,1,equispaced,0.7968579125056473,0.6618905496586905,1.0,1,,,0
0.15,0,3,ESPRIT+VP,0.7152728413199639,0.726830000610518,1.3325368381343174,3,1.0997680235964909e-05,134.97721372192584,66
0.15,0,3,equispaced,0.7921000690414591,0.6639046443704132,1.0108711119532556,3,,,0
0.15,0,5,ESPRIT+VP,0.24011159989843148,0.1376943905242605,34.12574797160535,5,21.065556977805162,1148.5539292919268,65
0.15,0,5,equispaced,0.7741947833762829,0.7053312067051775,1.286756001715095,5,,,0
0.15,0,7,ESPRIT+VP,0.18664462322384204,0.1327103937218374,24731323308.351044,7,11.092189929874534,1174.7111288925835,183
0.15,0,7,equispaced,0.713879994444566,0.7320493999494948,1.3617128043983204,7,,,0
0.15,0,9,ESPRIT+VP,0.05677722698345282,0.03372771391240115,190216603582.1203,8,0.010296010036051963,1561.4701454797105,36
0.15,0,9,equispaced,0.6777837644924893,0.6073254606347278,2.1056138346365523,9,,,0
0.15,0,11,ESPRIT+VP,0.023468456615012772,0.009740713080363159,11665431718.005829,9,0.0032952275315712744,23830.09156098652,32
0.15,0,11,equispaced,0.5580852880647392,0.3707840768978461,2.732977167722511,11,,,0
0.15,1,1,ESPRIT+VP,0.7202718174565481,0.6028237708911467,1.0,1,1.2216955809156772e-08,1.0,8
0.15,1,1,equispaced,0.7202841782877801,0.6029747655550027,1.0,1,,,0
0.15,1,3,ESPRIT+VP,0.7077350329571939,0.6319627998403982,1.0210105956690634,3,3.878612810564992e-06,61.68662988948726,48
0.15,1,3,equispaced,0.7188512710485017,0.6050868537965683,1.010871111953256,3,,,0
0.15,1,5,ESPRIT+VP,0.1343672184534848,0.09112220882667109,5180443621.947409,5,13.689734809627451,116.84739156491773,97
0.15,1,5,equispaced,0.7076222305082343,0.6339412321507314,1.2867560017150939,5,,,0
0.15,1,7,ESPRIT+VP,0.31829754213777267,0.30692857645483396,207624476030.22025,7,0.0003213548683245981,117.60228213696665,69
0.15,1,7,equispaced,0.6570734301462307,0.6667295351789464,1.3617128043983202,7,,,0
0.15,1,9,ESPRIT+VP,0.018151087629412633,0.008048101107938022,923119.0053337878,7,0.00330617887347278,324.29348330392355,39
