p,nominal,local_rank,retained,E_L2,kappa_tr_raw,kappa_tr_final,kappa_Kc,kappa_GR,G_min,G_max,alg_res,time
9,72,9,72,0.5008598814140879,2.1056138346365514,1.000000000000001,5.645774509610741,1.615933500165056,,,,
15,120,15,120,0.0710832941627357,1.598027283074509,1.0000000000000029,32.652665849442435,2.105594913285405,,,,
21,168,21,168,0.0007224295186186,86.27377086437778,1.0000000000002076,416.30353713302935,2.556150351487407,,,,
27,216,27,216,1.1687552304778345e-05,50205.60223088521,1.00000000001149,5728.144789336483,3.7974944249813625,,,,
33,264,33,264,1.887987471326802e-07,146013730.99671867,1.0000000404805391,67930.2593657926,4.941468268272451,,,,
37,296,37,296,1.6935393332105444e-08,60721865269.48382,1.0000157945775034,358826.12910747656,6.173259225713851,,,,
41,328,37,296,1.5608060323550008e-08,41083511471185.07,1.0000085476453306,349268.3906023104,6.209333301937062,,,,
49,392,37,296,1.5449205124077642e-08,8.450207132966429e+16,1.0000042867611143,342888.48018011724,6.188850895026684,1.1617932519091211e-06,1.3566692779320566,2.3616806243445915e-15,0.7394118309020996
57,456,37,296,1.5362660862799014e-08,1.6807846204287488e+17,1.0000038814446286,340691.1667982869,6.146293968720363,1.2237748657831332e-06,1.3566692778681562,2.3618212920344517e-15,0.8096990585327148
65,520,37,296,1.551714689490655e-08,4.932096605664396e+17,1.0000050765861437,343789.1054843614,6.161172650123848,1.2215816121719192e-06,1.3566692780395384,2.27419895116083e-15,1.1441454887390137
73,584,37,296,1.536792503576299e-08,2.8058980950834426e+17,1.000002221626438,339535.157312992,6.148224275885798,1.262693190777478e-06,1.3566692781428906,2.437942646304444e-15,0.8062551021575928
81,648,37,296,1.5371781535851684e-08,3.189011291113027e+17,1.00000446676646,341113.00593555585,6.151055567635319,1.229991552539548e-06,1.3566692779975176,2.5419789581453325e-15,1.354456901550293
89,712,37,296,1.5325831135492403e-08,3.037620037110339e+17,1.0000019750487703,338780.1649414738,6.130740056992463,1.2541114366977868e-06,1.356669277924722,2.3855821191417205e-15,1.176654815673828
97,776,37,296,1.539068353499676e-08,4.150781496948522e+17,1.000003089287015,337445.60209814034,6.125313364174675,1.2348992186065e-06,1.3566692780484857,2.3888281075304344e-15,1.735710859298706
