p,nominal,local_rank,retained,E_L2,kappa_tr_raw,kappa_tr_final,kappa_Kc,kappa_GR,G_min,G_max,alg_res,time
9,72,9,72,0.5008598814140879,2.1056138346365514,1.0000000000000013,5.645774509610741,1.615933500165056,0.10783204767820909,0.9186658290162051,5.240125051284148e-16,0.2950425148010254
15,120,15,120,0.07108329416273577,1.598027283074509,1.0000000000000029,32.652665849442435,2.105594913285405,0.03037301594137417,1.348823064913014,8.047213454074467e-16,0.2690584659576416
21,168,21,168,0.0007224295186186001,86.27377086437778,1.0000000000002076,416.30353713302935,2.556150351487407,0.001966612929390452,1.3553889316216323,1.0252330346613147e-15,0.5180273056030273
27,216,27,216,1.1687552304778343e-05,50205.60223088521,1.0000000000114901,5728.144789336483,3.7974944249813625,0.00010767781684934967,1.3562298120430052,1.1729907257022805e-15,0.6086924076080322
33,264,33,264,1.887987471326802e-07,146013730.99671867,1.0000000404805391,67930.2593657926,4.941468268272451,7.61509957816411e-06,1.3565459227502032,1.5899730639708739e-15,0.4930243492126465
37,296,37,296,1.6935393332105444e-08,60721865269.48382,1.0000157945775034,358826.12910747656,6.173259225713851,1.1597170332317103e-06,1.3566670664889515,2.2798183559790568e-15,0.614229679107666
41,328,37,296,1.5608060323550008e-08,41083511471185.07,1.0000085476453306,349268.3906023104,6.209333301937062,1.0734780370098373e-06,1.3566692780363938,2.8028675527708354e-15,0.6756799221038818
49,392,37,296,1.5449205124077642e-08,8.450207132966429e+16,1.0000042867611145,342888.48018011724,6.188850895026684,1.1617932519091213e-06,1.3566692779320566,2.3616806243445915e-15,0.7135858535766602
57,456,37,296,1.5362660862799014e-08,1.6807846204287488e+17,1.0000038814446286,340691.1667982869,6.146293968720363,1.2237748657831332e-06,1.3566692778681562,2.3618212920344513e-15,0.6939895153045654
65,520,37,296,1.551714689490655e-08,4.932096605664396e+17,1.0000050765861437,343789.1054843614,6.161172650123848,1.2215816121719192e-06,1.3566692780395384,2.27419895116083e-15,0.70440673828125
73,584,37,296,1.536792503576299e-08,2.8058980950834426e+17,1.0000022216264381,339535.157312992,6.148224275885798,1.262693190777478e-06,1.3566692781428906,2.4379426463044437e-15,1.3180723190307617
81,648,37,296,1.5371781535851684e-08,3.189011291113027e+17,1.00000446676646,341113.00593555585,6.151055567635319,1.229991552539548e-06,1.3566692779975176,2.5419789581453325e-15,1.0556919574737549
89,712,37,296,1.5325831135492403e-08,3.037620037110339e+17,1.0000019750487703,338780.1649414738,6.130740056992463,1.2541114366977868e-06,1.356669277924722,2.3855821191417205e-15,1.4950940608978271
97,776,37,296,1.539068353499676e-08,4.150781496948522e+17,1.000003089287015,337445.60209814034,6.125313364174675,1.2348992186064999e-06,1.3566692780484857,2.3888281075304344e-15,1.2389228343963623
