p,q_requested,qPW,MFB,pred_trace,angles_deg_rel
21,0,0,10,0.02456318286333128,
21,2,2,9,0.015402572036815892,0.00000001;-179.99999997
21,4,4,8,0.022210915950386285,-64.09874113;-151.84040461;-31.82111682;155.91841452
21,6,6,7,0.02467952574841878,-131.78972999;-114.89793295;-98.10735804;-81.36015720;-64.60615879;-47.89337343
27,0,0,13,0.0016670659151625925,
27,2,2,12,0.00101786455250645,179.99999999;-0.00000001
27,4,4,11,0.0011900786837903798,-36.81019482;-64.00023134;92.99220173;-92.00676480
27,6,6,10,0.004637572116452194,-90.21765748;-89.87737785;-90.98684337;-88.66302697;-89.86572461;-80.65280586
33,0,0,16,0.0001733494405019287,
33,2,2,15,0.00010435162218583414,179.99999957;-0.00000043
33,4,4,14,0.00010617939475125705,-27.96332611;-77.11051821;-16.38893060;113.07222968
33,6,6,13,0.0003098994477355215,-89.73632418;-89.57417529;-89.98771027;-90.38038216;-90.07424218;-89.96171987
39,0,0,19,2.4869359233800847e-05,
39,2,2,18,1.4860802455772871e-05,179.99999934;-0.00000066
39,4,4,17,1.7851732520031194e-05,17.45247880;7.96676873;171.43264080;-140.68896276
39,6,6,16,1.2174702404001672e-05,56.17314630;9.14091457;-123.23181911;-113.78340045;-85.25968714;133.01241579
45,0,0,22,4.032673442036562e-06,
45,2,2,21,2.3989442244122267e-06,-0.00000062;179.99999938
45,4,4,20,2.389169834216112e-06,-56.59688768;167.20569654;88.89442944;-167.32185088
45,6,6,19,2.433331520726043e-06,-85.10372545;7.16206536;64.22512650;-50.64140959;-166.98271216;175.65369963
53,0,0,26,3.915696501738795e-07,
53,2,2,25,2.3205949766186017e-07,-0.00000060;179.99999940
53,4,4,24,4.1637615507612624e-07,174.39248609;-173.95878768;-5.28731034;5.04675411
53,6,6,23,1.2467932088415749e-06,-89.99999670;-89.99999593;-89.99999501;-89.99999373;-89.99999175;-89.99998802
61,0,0,30,4.037066636401321e-08,
61,2,2,29,2.3867890177207075e-08,-0.00000015;179.99999985
61,4,4,28,7.106061064008367e-08,-90.00000000;-90.00000000;-90.00000000;-90.00000000
61,6,6,27,1.2512841041856997e-07,-90.00002449;-90.00001943;-90.00001631;-90.00001408;-90.00001229;-90.00001071
